Gender,Height_cm,US_born,Poverty,Weight_kg,Age_yr
Male,168.8,FALSE,FALSE,85.5,60
Male,183.6,TRUE,FALSE,70.6,21
Female,163.2,TRUE,TRUE,76.8,62
Male,107.6,TRUE,TRUE,18.2,6
Male,96.5,TRUE,FALSE,15.4,2
Female,159.6,FALSE,FALSE,53.5,16
Male,174.7,TRUE,TRUE,86.9,50
Female,161.1,FALSE,FALSE,90.5,21
Female,132.1,TRUE,FALSE,53.9,9
Male,192.8,TRUE,FALSE,110.4,33
Female,120.6,TRUE,FALSE,24.3,5
Male,113.1,TRUE,FALSE,19.3,5
Female,168.3,TRUE,FALSE,86.5,24
Female,162.1,TRUE,FALSE,82.2,68
Female,156,FALSE,FALSE,61.1,64
Female,162.3,TRUE,FALSE,71.3,48
Male,92,TRUE,FALSE,15.1,2
Female,165.7,TRUE,TRUE,67.2,16
Male,154.1,FALSE,FALSE,66.5,21
Female,131.5,TRUE,FALSE,37.9,7
Male,172.3,TRUE,FALSE,46,16
Male,173.4,TRUE,FALSE,105.3,59
Female,161.1,TRUE,FALSE,56.8,40
Female,105,TRUE,TRUE,17.5,4
Male,172.8,TRUE,TRUE,94.8,22
Male,158,TRUE,FALSE,59.9,13
Male,190.2,TRUE,FALSE,86.9,25
Female,152,FALSE,TRUE,47.7,34
Male,94.9,TRUE,FALSE,14,3
Female,158.7,TRUE,FALSE,62.9,10
Female,165.9,TRUE,FALSE,62.6,31
Male,180.3,TRUE,FALSE,65.9,21
Female,162.4,TRUE,TRUE,95.6,79
Female,155.2,TRUE,TRUE,65.5,18
Male,171.9,TRUE,FALSE,91.1,63
Female,161.8,TRUE,TRUE,87.8,43
Male,175.9,FALSE,TRUE,96.4,23
Male,164.7,TRUE,FALSE,73.3,15
Female,164.1,TRUE,FALSE,56.9,17
Female,153.2,TRUE,FALSE,55.2,35
Female,165,TRUE,FALSE,102.3,63
Female,167.3,TRUE,FALSE,124.4,32
Male,162.7,TRUE,FALSE,57.8,38
Male,181.8,FALSE,FALSE,79.6,62
Female,159.3,TRUE,FALSE,51.6,55
Male,178.7,TRUE,FALSE,53.6,15
Female,158.2,TRUE,FALSE,53.8,17
Female,163.4,TRUE,FALSE,74.9,48
Male,127.1,TRUE,TRUE,27,9
Male,172.6,TRUE,FALSE,103.6,79
